data,jogo,transmissão,hora
22/12/2023,Washington Wizards x Golden State Warriors,ESPN 2,23h
23/12/2023,Milwaukee Bucks x New York Knicks,Amazon Prime Video,14h30
23/12/2023,Boston Celtics x Los Angeles Clippers,Amazon Prime Video,17h30
23/12/2023,San Antonio Spurs x Dallas Mavericks,ESPN 2,22h30
25/12/2023,Milwaukee Bucks x New York Knicks,ESPN 2,14h
25/12/2023,Golden State Warriors x Denver Nuggets,ESPN 2,16h30
25/12/2023,Boston Celtics x Los Angeles Lakers,ESPN 2,19h
25/12/2023,Philadelphia 76ers x Miami Heat,ESPN 2,22h
25/12/2023,Dallas Mavericks x Phoenix Suns,ESPN 2,0h30
27/12/2023,New York Knicks x Oklahoma City Thunder,ESPN 2,22h
29/12/2023,Milwaukee Bucks x Cleveland Cavaliers,ESPN 2,21h30
30/12/2023,Miami Heat x Utah Jazz,ESPN 2,19h
30/12/2023,Dallas Mavericks x Golden State Warriors,Amazon Prime Video,22h30
31/12/2023,Los Angeles Lakers x New Orleans Pelicans,Amazon Prime Video,21h
03/01/2024,Chicago Bulls x New York Knicks,ESPN 2,21h30
03/01/2024,Miami Heat x Los Angeles Lakers,ESPN 2,0h
04/01/2024,Milwaukee Bucks x San Antonio Spurs,Amazon Prime Video,21h30
04/01/2024,Denver Nuggets x Golden State Warriors,Amazon Prime Video,0h
05/01/2024,New York Knicks x Philadelphia 76ers,ESPN 2,21h30
05/01/2024,Memphis Grizzlies x Los Angeles Lakers,ESPN 2,0h
06/01/2024,Boston Celtics x Indiana Pacers,Amazon Prime Video,21h
06/01/2024,Utah Jazz x Philadelphia 76ers,ESPN 2,21h30
07/01/2024,San Antonio Spurs x Cleveland Cavaliers,Amazon Prime Video,15h
07/01/2024,Memphis Grizzlies x Phoenix Suns,Amazon Prime Video,22h
10/01/2024,Philadelphia 76ers x Atlanta Hawks,ESPN 2,21h30
10/01/2024,New Orleans Pelicans x Golden State Warriors,ESPN 2,0h
11/01/2024,Boston Celtics x Milwaukee Bucks,Amazon Prime Video,21h30
11/01/2024,Phoenix Suns x Los Angeles Lakers,Amazon Prime Video,0h
12/01/2024,Houston Rockets x Detroit Pistons,ESPN 2,21h30
12/01/2024,Charlotte Hornets x San Antonio Spurs,ESPN 2,0h
13/01/2024,Golden State Warriors x Milwaukee Bucks,Amazon Prime Video,22h
14/01/2024,Indiana Pacers x Denver Nuggets,Amazon Prime Video,17h30
14/01/2024,Sacramento Kings x Milwaukee Bucks,Amazon Prime Video,21h
15/01/2024,San Antonio Spurs x Atlanta Hawks,Amazon Prime Video,17h30
15/01/2024,Golden State Warriors x Memphis Grizzlies,Amazon Prime Video,20h
16/01/2024,Denver Nuggets x Philadelphia 76ers,Amazon Prime Video,21h30
16/01/2024,Oklahoma City Thunder x Los Angeles Clippers,Amazon Prime Video,0h
17/01/2024,Milwaukee Bucks x Cleveland Cavaliers,ESPN 2,21h30
17/01/2024,Dallas Mavericks x Los Angeles Lakers,ESPN 2,0h
18/01/2024,Chicago Bulls x Toronto Raptors,Amazon Prime Video,21h30
18/01/2024,Memphis Grizzlies x Minnesota Timberwolves,Amazon Prime Video,0h
19/01/2024,Denver Nuggets x Boston Celtics,ESPN 2,21h30
19/01/2024,Dallas Mavericks x Golden State Warriors,ESPN 2,0h
20/01/2024,Milwaukee Bucks x Detroit Pistons,Amazon Prime Video,17h
20/01/2024,San Antonio Spurs x Washington Wizards,Amazon Prime Video,21h
21/01/2024,Indiana Pacers x Phoenix Suns,Amazon Prime Video,22h
23/01/2024,New York Knicks x Brooklyn Nets,Amazon Prime Video,21h30
24/01/2024,Oklahoma City Thunder x San Antonio Spurs,ESPN 2,21h30
24/01/2024,Phoenix Suns x Dallas Mavericks,ESPN 2,0h
25/01/2024,Boston Celtics x Miami Heat,Amazon Prime Video,21h30
25/01/2024,Sacramento Kings x Golden State Warriors,Amazon Prime Video,0h
26/01/2024,Dallas Mavericks x Atlanta Hawks,ESPN 2,21h
27/01/2024,Miami Heat x New York Knicks,ESPN 2,17h
27/01/2024,Philadelphia 76ers x Denver Nuggets,ESPN 2,19h30
27/01/2024,Los Angeles Lakers x Golden State Warriors,ESPN 2,22h30
27/01/2024,Minnesota Timberwolves x San Antonio Spurs,Amazon Prime Video,22h30
28/01/2024,Oklahoma City Thunder x Detroit Pistons,Amazon Prime Video,20h
30/01/2024,Indiana Pacers x Boston Celtics,Amazon Prime Video,21h30
